RQ,Scenariusz,Para,Metryka,Średnia A,Średnia B,Test,Statystyka,p-value,Istotny
RQ1,LOO,Exp 3 (UNK) vs Exp 1 (CE + Mahal.),AUROC,0.8614688147656336,0.8204193020253173,t-Student,1.0301554515979179,0.3426620747822502,Nie
RQ1,LOO,Exp 3 (UNK) vs Exp 1 (CE + Mahal.),FPR95,0.5521565899785911,0.556255380600119,t-Student,-0.03689581212833361,0.9717650004952855,Nie
RQ1,LOO,Exp 3 (UNK) vs Exp 2 (CE + R-Angle),AUROC,0.8614688147656336,0.8907373685861727,t-Student,-1.268414907322961,0.25163989867801007,Nie
RQ1,LOO,Exp 3 (UNK) vs Exp 2 (CE + R-Angle),FPR95,0.5521565899785911,0.3312750165523533,t-Student,1.9760060601322755,0.09555142169002533,Nie
RQ1,LOO,Exp 3 (UNK) vs Exp 4 (SupCon + Mahal.),AUROC,0.8614688147656336,0.81786295381083,t-Student,2.0018007102542867,0.09219598099677971,Nie
RQ1,LOO,Exp 3 (UNK) vs Exp 4 (SupCon + Mahal.),FPR95,0.5521565899785911,0.6277680992095261,t-Student,-0.8110067372606572,0.4483286526306828,Nie
RQ1,LOO,Exp 3 (UNK) vs Exp 5 (SupCon + R-Angle),AUROC,0.8614688147656336,0.9357756104069299,t-Student,-3.641912753781644,0.010810163393234352,Tak
RQ1,LOO,Exp 3 (UNK) vs Exp 5 (SupCon + R-Angle),FPR95,0.5521565899785911,0.22454801873459732,t-Student,3.2307493909568055,0.017893626296204546,Tak
RQ1,LTO,Exp 3 (UNK) vs Exp 1 (CE + Mahal.),AUROC,0.8096251430439236,0.8378485335819816,t-Student,-0.8219453715413559,0.4572777002654528,Nie
RQ1,LTO,Exp 3 (UNK) vs Exp 1 (CE + Mahal.),FPR95,0.8065954675329248,0.6546538488715345,t-Student,3.4518766337665077,0.026009849173598953,Tak
RQ1,LTO,Exp 3 (UNK) vs Exp 2 (CE + R-Angle),AUROC,0.8096251430439236,0.8878112184444831,t-Student,-3.4186816999500467,0.026812614248496746,Tak
RQ1,LTO,Exp 3 (UNK) vs Exp 2 (CE + R-Angle),FPR95,0.8065954675329248,0.3939264752998004,t-Student,7.229112660541647,0.0019424291590351558,Tak
RQ1,LTO,Exp 3 (UNK) vs Exp 4 (SupCon + Mahal.),AUROC,0.8096251430439236,0.8281805836972479,t-Student,-0.6002541037433266,0.5806875305533106,Nie
RQ1,LTO,Exp 3 (UNK) vs Exp 4 (SupCon + Mahal.),FPR95,0.8065954675329248,0.7115613196118268,t-Student,1.6162983490386826,0.18133529524602324,Nie
RQ1,LTO,Exp 3 (UNK) vs Exp 5 (SupCon + R-Angle),AUROC,0.8096251430439236,0.8925274013262865,t-Student,-3.7169864757396507,0.020528423810384378,Tak
RQ1,LTO,Exp 3 (UNK) vs Exp 5 (SupCon + R-Angle),FPR95,0.8065954675329248,0.41243277612443563,t-Student,5.418584760151201,0.005622294467747645,Tak
RQ2,LOO,Exp 1 (CE) vs Exp 4 (SupCon) [Mahal.],AUROC,0.8204193020253173,0.81786295381083,t-Student,0.08706951411365545,0.9334493667081418,Nie
RQ2,LOO,Exp 1 (CE) vs Exp 4 (SupCon) [Mahal.],FPR95,0.556255380600119,0.6277680992095261,t-Student,-1.4475682886026409,0.19789366978045472,Nie
RQ2,LOO,Exp 2 (CE) vs Exp 5 (SupCon) [R-Angle],AUROC,0.8907373685861727,0.9357756104069299,Wilcoxon,0.0,0.015625,Tak
RQ2,LOO,Exp 2 (CE) vs Exp 5 (SupCon) [R-Angle],FPR95,0.3312750165523533,0.22454801873459732,t-Student,3.768344675182335,0.009306804223533407,Tak
RQ2,LTO,Exp 1 (CE) vs Exp 4 (SupCon) [Mahal.],AUROC,0.8378485335819816,0.8281805836972479,t-Student,0.7517618347021265,0.4940091467145248,Nie
RQ2,LTO,Exp 1 (CE) vs Exp 4 (SupCon) [Mahal.],FPR95,0.6546538488715345,0.7115613196118268,t-Student,-1.3874178775201256,0.2376086230411942,Nie
RQ2,LTO,Exp 2 (CE) vs Exp 5 (SupCon) [R-Angle],AUROC,0.8878112184444831,0.8925274013262865,t-Student,-0.23788290767504275,0.823660383104911,Nie
RQ2,LTO,Exp 2 (CE) vs Exp 5 (SupCon) [R-Angle],FPR95,0.3939264752998004,0.41243277612443563,Wilcoxon,6.0,0.8125,Nie
RQ3,LOO,Exp 1 (Mahal.) vs Exp 2 (R-Angle) [CE],AUROC,0.8204193020253173,0.8907373685861727,t-Student,-3.2121090637869347,0.018318289567452344,Tak
RQ3,LOO,Exp 1 (Mahal.) vs Exp 2 (R-Angle) [CE],FPR95,0.556255380600119,0.3312750165523533,t-Student,5.052016545674182,0.0023289838574758522,Tak
RQ3,LOO,Exp 4 (Mahal.) vs Exp 5 (R-Angle) [SupCon],AUROC,0.81786295381083,0.9357756104069299,t-Student,-7.311029444143213,0.0003341846270147282,Tak
RQ3,LOO,Exp 4 (Mahal.) vs Exp 5 (R-Angle) [SupCon],FPR95,0.6277680992095261,0.22454801873459732,t-Student,9.00883045017722,0.00010469105493774247,Tak
RQ3,LTO,Exp 1 (Mahal.) vs Exp 2 (R-Angle) [CE],AUROC,0.8378485335819816,0.8878112184444831,t-Student,-2.8521701767720664,0.04629413693380052,Tak
RQ3,LTO,Exp 1 (Mahal.) vs Exp 2 (R-Angle) [CE],FPR95,0.6546538488715345,0.3939264752998004,t-Student,4.34784360729876,0.012177678036697602,Tak
RQ3,LTO,Exp 4 (Mahal.) vs Exp 5 (R-Angle) [SupCon],AUROC,0.8281805836972479,0.8925274013262865,t-Student,-4.794251367858109,0.00868453700343807,Tak
RQ3,LTO,Exp 4 (Mahal.) vs Exp 5 (R-Angle) [SupCon],FPR95,0.7115613196118268,0.41243277612443563,t-Student,4.791480199643552,0.008702140907600082,Tak
